territory_id,datum,year,month,hcp_tier,rep_tenure,calls,samples_dropped,digital_touches,competitor_share,market_access,seasonality_idx,base_rx,rx_volume
TER_001,2014-01-31,2014,1,2,8,5,11,2,0.455,7,1.06,650.11,496.96
TER_001,2014-02-28,2014,2,2,8,10,13,6,0.6,7,1.104,650.11,541.98
TER_001,2014-03-31,2014,3,2,8,16,24,5,0.646,7,1.12,650.11,716.46
TER_001,2014-04-30,2014,4,2,8,14,22,5,0.258,7,1.104,650.11,790.19
TER_001,2014-05-31,2014,5,2,8,10,12,6,0.258,7,1.06,650.11,705.83
TER_001,2014-06-30,2014,6,2,8,6,8,4,0.326,7,1.0,650.11,568.11
TER_001,2014-07-31,2014,7,2,8,10,17,7,0.45,7,0.94,650.11,622.82
TER_001,2014-08-31,2014,8,2,8,11,17,15,0.511,7,0.896,650.11,655.82
TER_001,2014-09-30,2014,9,2,8,6,5,6,0.433,7,0.88,650.11,413.33
TER_001,2014-10-31,2014,10,2,8,11,14,8,0.683,7,0.896,650.11,514.95
TER_001,2014-11-30,2014,11,2,8,9,16,2,0.136,7,0.94,650.11,676.51
TER_001,2014-12-31,2014,12,2,8,9,12,7,0.749,7,1.0,650.11,484.14
TER_001,2015-01-31,2015,1,2,8,7,9,3,0.198,7,1.06,650.11,549.02
TER_001,2015-02-28,2015,2,2,8,6,9,0,0.421,7,1.104,650.11,478.89
TER_001,2015-03-31,2015,3,2,8,14,21,9,0.322,7,1.12,650.11,740.53
TER_001,2015-04-30,2015,4,2,8,10,18,6,0.284,7,1.104,650.11,664.82
TER_001,2015-05-31,2015,5,2,8,6,10,7,0.555,7,1.06,650.11,545.85
TER_001,2015-06-30,2015,6,2,8,15,23,11,0.571,7,1.0,650.11,757.92
TER_001,2015-07-31,2015,7,2,8,10,17,5,0.399,7,0.94,650.11,675.56
TER_001,2015-08-31,2015,8,2,8,7,9,3,0.625,7,0.896,650.11,497.68
TER_001,2015-09-30,2015,9,2,8,7,7,5,0.147,7,0.88,650.11,588.78
TER_001,2015-10-31,2015,10,2,8,11,15,4,0.421,7,0.896,650.11,692.17
TER_001,2015-11-30,2015,11,2,8,16,23,7,0.85,7,0.94,650.11,700.1
TER_001,2015-12-31,2015,12,2,8,12,18,6,0.279,7,1.0,650.11,772.49
TER_001,2016-01-31,2016,1,2,8,3,4,2,0.202,7,1.06,650.11,489.85
TER_001,2016-02-29,2016,2,2,8,7,8,4,0.453,7,1.104,650.11,471.95
TER_001,2016-03-31,2016,3,2,8,13,20,3,0.325,7,1.12,650.11,749.45
TER_001,2016-04-30,2016,4,2,8,9,14,6,0.336,7,1.104,650.11,564.85
TER_001,2016-05-31,2016,5,2,8,5,7,3,0.144,7,1.06,650.11,552.42
TER_001,2016-06-30,2016,6,2,8,11,17,10,0.552,7,1.0,650.11,631.04
TER_001,2016-07-31,2016,7,2,8,14,22,10,0.216,7,0.94,650.11,804.29
TER_001,2016-08-31,2016,8,2,8,11,18,4,0.288,7,0.896,650.11,719.03
TER_001,2016-09-30,2016,9,2,8,6,9,2,0.176,7,0.88,650.11,539.58
TER_001,2016-10-31,2016,10,2,8,10,14,3,0.593,7,0.896,650.11,515.69
TER_001,2016-11-30,2016,11,2,8,12,22,10,0.266,7,0.94,650.11,759.95
TER_001,2016-12-31,2016,12,2,8,15,24,12,0.318,7,1.0,650.11,850.24
TER_001,2017-01-31,2017,1,2,8,10,15,8,0.349,7,1.06,650.11,647.44
TER_001,2017-02-28,2017,2,2,8,10,14,8,0.225,7,1.104,650.11,682.75
TER_001,2017-03-31,2017,3,2,8,11,12,8,0.191,7,1.12,650.11,674.27
TER_001,2017-04-30,2017,4,2,8,3,3,5,0.194,7,1.104,650.11,533.24
TER_001,2017-05-31,2017,5,2,8,11,12,4,0.193,7,1.06,650.11,589.54
TER_001,2017-06-30,2017,6,2,8,16,24,1,0.147,7,1.0,650.11,812.55
TER_001,2017-07-31,2017,7,2,8,5,3,5,0.484,7,0.94,650.11,416.55
TER_001,2017-08-31,2017,8,2,8,14,20,9,0.271,7,0.896,650.11,767.78
TER_001,2017-09-30,2017,9,2,8,10,16,3,0.341,7,0.88,650.11,608.91
TER_001,2017-10-31,2017,10,2,8,14,20,10,0.305,7,0.896,650.11,758.17
TER_001,2017-11-30,2017,11,2,8,7,10,1,0.474,7,0.94,650.11,525.1
TER_001,2017-12-31,2017,12,2,8,10,13,6,0.585,7,1.0,650.11,552.04
TER_001,2018-01-31,2018,1,2,8,10,15,10,0.178,7,1.06,650.11,665.86
TER_001,2018-02-28,2018,2,2,8,5,6,4,0.771,7,1.104,650.11,386.76
TER_001,2018-03-31,2018,3,2,8,9,14,8,0.373,7,1.12,650.11,617.34
TER_001,2018-04-30,2018,4,2,8,9,15,3,0.276,7,1.104,650.11,681.48
TER_001,2018-05-31,2018,5,2,8,13,22,9,0.242,7,1.06,650.11,729.56
TER_001,2018-06-30,2018,6,2,8,6,8,7,0.281,7,1.0,650.11,507.29
TER_001,2018-07-31,2018,7,2,8,13,14,5,0.413,7,0.94,650.11,624.72
TER_001,2018-08-31,2018,8,2,8,7,10,3,0.469,7,0.896,650.11,503.99
TER_001,2018-09-30,2018,9,2,8,11,14,3,0.572,7,0.88,650.11,482.86
TER_001,2018-10-31,2018,10,2,8,7,9,3,0.364,7,0.896,650.11,487.54
TER_001,2018-11-30,2018,11,2,8,6,10,4,0.306,7,0.94,650.11,531.31
TER_001,2018-12-31,2018,12,2,8,11,13,10,0.178,7,1.0,650.11,678.02
TER_001,2019-01-31,2019,1,2,8,11,19,9,0.518,7,1.06,650.11,641.7
TER_001,2019-02-28,2019,2,2,8,13,18,8,0.197,7,1.104,650.11,836.28
TER_001,2019-03-31,2019,3,2,8,14,18,7,0.252,7,1.12,650.11,721.75
TER_001,2019-04-30,2019,4,2,8,7,12,6,0.535,7,1.104,650.11,488.69
TER_001,2019-05-31,2019,5,2,8,10,14,7,0.331,7,1.06,650.11,610.91
TER_001,2019-06-30,2019,6,2,8,5,5,2,0.477,7,1.0,650.11,461.89
TER_001,2019-07-31,2019,7,2,8,4,2,3,0.143,7,0.94,650.11,537.19
TER_001,2019-08-31,2019,8,2,8,11,17,9,0.416,7,0.896,650.11,627.06
TER_001,2019-09-30,2019,9,2,8,9,13,4,0.264,7,0.88,650.11,659.29
TER_001,2019-10-31,2019,10,2,8,7,7,2,0.427,7,0.896,650.11,506.19
TER_002,2014-01-31,2014,1,2,3,6,14,4,0.319,9,1.06,672.8,547.58
TER_002,2014-02-28,2014,2,2,3,5,6,6,0.558,9,1.104,672.8,408.56
TER_002,2014-03-31,2014,3,2,3,11,15,3,0.358,9,1.12,672.8,616.68
TER_002,2014-04-30,2014,4,2,3,10,13,7,0.362,9,1.104,672.8,594.9
TER_002,2014-05-31,2014,5,2,3,7,11,1,0.212,9,1.06,672.8,524.88
TER_002,2014-06-30,2014,6,2,3,6,8,4,0.261,9,1.0,672.8,550.35
TER_002,2014-07-31,2014,7,2,3,5,5,3,0.694,9,0.94,672.8,344.42
TER_002,2014-08-31,2014,8,2,3,10,13,11,0.415,9,0.896,672.8,591.07
TER_002,2014-09-30,2014,9,2,3,6,11,1,0.371,9,0.88,672.8,485.37
TER_002,2014-10-31,2014,10,2,3,4,8,3,0.786,9,0.896,672.8,335.6
TER_002,2014-11-30,2014,11,2,3,6,8,4,0.159,9,0.94,672.8,552.07
TER_002,2014-12-31,2014,12,2,3,10,12,7,0.499,9,1.0,672.8,519.66
TER_002,2015-01-31,2015,1,2,3,8,10,5,0.665,9,1.06,672.8,440.52
TER_002,2015-02-28,2015,2,2,3,9,15,3,0.137,9,1.104,672.8,665.06
TER_002,2015-03-31,2015,3,2,3,9,13,5,0.655,9,1.12,672.8,429.52
TER_002,2015-04-30,2015,4,2,3,5,7,2,0.316,9,1.104,672.8,448.37
TER_002,2015-05-31,2015,5,2,3,7,10,3,0.7,9,1.06,672.8,379.52
TER_002,2015-06-30,2015,6,2,3,8,13,3,0.438,9,1.0,672.8,536.5
TER_002,2015-07-31,2015,7,2,3,9,12,2,0.23,9,0.94,672.8,548.16
TER_002,2015-08-31,2015,8,2,3,11,14,6,0.1,9,0.896,672.8,698.73
TER_002,2015-09-30,2015,9,2,3,3,5,1,0.171,9,0.88,672.8,480.58
TER_002,2015-10-31,2015,10,2,3,7,9,5,0.504,9,0.896,672.8,435.22
TER_002,2015-11-30,2015,11,2,3,5,6,5,0.304,9,0.94,672.8,451.46
TER_002,2015-12-31,2015,12,2,3,3,8,0,0.1,9,1.0,672.8,525.2
TER_002,2016-01-31,2016,1,2,3,10,13,6,0.665,9,1.06,672.8,489.85
TER_002,2016-02-29,2016,2,2,3,5,7,5,0.62,9,1.104,672.8,392.54
TER_002,2016-03-31,2016,3,2,3,4,2,0,0.493,9,1.12,672.8,316.42
TER_002,2016-04-30,2016,4,2,3,8,6,5,0.192,9,1.104,672.8,567.2
TER_002,2016-05-31,2016,5,2,3,3,6,1,0.725,9,1.06,672.8,333.56
TER_002,2016-06-30,2016,6,2,3,5,5,2,0.248,9,1.0,672.8,452.4
TER_002,2016-07-31,2016,7,2,3,12,18,6,0.228,9,0.94,672.8,720.25
TER_002,2016-08-31,2016,8,2,3,7,10,4,0.61,9,0.896,672.8,432.5
TER_002,2016-09-30,2016,9,2,3,7,9,2,0.669,9,0.88,672.8,401.21
TER_002,2016-10-31,2016,10,2,3,8,14,2,0.267,9,0.896,672.8,572.39
TER_002,2016-11-30,2016,11,2,3,8,9,2,0.328,9,0.94,672.8,538.16
TER_002,2016-12-31,2016,12,2,3,9,12,7,0.663,9,1.0,672.8,487.6
TER_002,2017-01-31,2017,1,2,3,7,10,4,0.303,9,1.06,672.8,480.12
TER_002,2017-02-28,2017,2,2,3,12,17,4,0.1,9,1.104,672.8,754.4
TER_002,2017-03-31,2017,3,2,3,9,15,5,0.416,9,1.12,672.8,595.23
TER_002,2017-04-30,2017,4,2,3,7,11,5,0.217,9,1.104,672.8,544.7
TER_002,2017-05-31,2017,5,2,3,7,10,1,0.269,9,1.06,672.8,520.89
TER_002,2017-06-30,2017,6,2,3,10,12,6,0.371,9,1.0,672.8,602.72
TER_002,2017-07-31,2017,7,2,3,9,15,9,0.488,9,0.94,672.8,542.23
TER_002,2017-08-31,2017,8,2,3,7,11,5,0.242,9,0.896,672.8,549.6
TER_002,2017-09-30,2017,9,2,3,9,14,5,0.147,9,0.88,672.8,641.14
TER_002,2017-10-31,2017,10,2,3,10,14,6,0.694,9,0.896,672.8,480.3
TER_002,2017-11-30,2017,11,2,3,6,8,3,0.31,9,0.94,672.8,523.62
TER_002,2017-12-31,2017,12,2,3,10,15,6,0.417,9,1.0,672.8,611.68
TER_002,2018-01-31,2018,1,2,3,12,16,8,0.153,9,1.06,672.8,740.66
TER_002,2018-02-28,2018,2,2,3,9,13,7,0.309,9,1.104,672.8,581.5
TER_002,2018-03-31,2018,3,2,3,14,23,10,0.531,9,1.12,672.8,810.6
TER_002,2018-04-30,2018,4,2,3,4,3,2,0.1,9,1.104,672.8,469.71
TER_002,2018-05-31,2018,5,2,3,8,13,9,0.378,9,1.06,672.8,581.2
TER_002,2018-06-30,2018,6,2,3,6,8,6,0.479,9,1.0,672.8,533.91
TER_002,2018-07-31,2018,7,2,3,4,7,0,0.579,9,0.94,672.8,394.42
TER_002,2018-08-31,2018,8,2,3,9,11,6,0.698,9,0.896,672.8,402.07
TER_002,2018-09-30,2018,9,2,3,9,13,4,0.305,9,0.88,672.8,571.05
TER_002,2018-10-31,2018,10,2,3,4,5,2,0.85,9,0.896,672.8,197.8
TER_002,2018-11-30,2018,11,2,3,5,7,2,0.671,9,0.94,672.8,304.19
TER_002,2018-12-31,2018,12,2,3,11,15,7,0.373,9,1.0,672.8,612.98
TER_002,2019-01-31,2019,1,2,3,7,7,2,0.421,9,1.06,672.8,476.6
TER_002,2019-02-28,2019,2,2,3,7,9,5,0.122,9,1.104,672.8,603.93
TER_002,2019-03-31,2019,3,2,3,8,16,4,0.477,9,1.12,672.8,610.36
TER_002,2019-04-30,2019,4,2,3,3,3,1,0.821,9,1.104,672.8,215.11
TER_002,2019-05-31,2019,5,2,3,8,14,7,0.404,9,1.06,672.8,576.48
TER_002,2019-06-30,2019,6,2,3,7,7,1,0.528,9,1.0,672.8,375.91
TER_002,2019-07-31,2019,7,2,3,8,14,6,0.175,9,0.94,672.8,624.25
TER_002,2019-08-31,2019,8,2,3,8,14,2,0.392,9,0.896,672.8,558.43
TER_002,2019-09-30,2019,9,2,3,9,13,5,0.387,9,0.88,672.8,574.85
TER_002,2019-10-31,2019,10,2,3,5,9,5,0.1,9,0.896,672.8,487.2
TER_003,2014-01-31,2014,1,3,4,12,20,4,0.509,9,1.06,466.72,518.4
TER_003,2014-02-28,2014,2,3,4,11,16,13,0.48,9,1.104,466.72,565.78
TER_003,2014-03-31,2014,3,3,4,10,14,3,0.722,9,1.12,466.72,385.76
TER_003,2014-04-30,2014,4,3,4,11,14,6,0.239,9,1.104,466.72,563.92
TER_003,2014-05-31,2014,5,3,4,4,2,3,0.772,9,1.06,466.72,271.33
TER_003,2014-06-30,2014,6,3,4,9,12,9,0.109,9,1.0,466.72,554.86
TER_003,2014-07-31,2014,7,3,4,11,17,8,0.347,9,0.94,466.72,580.87
TER_003,2014-08-31,2014,8,3,4,9,14,1,0.729,9,0.896,466.72,337.7
TER_003,2014-09-30,2014,9,3,4,4,3,1,0.591,9,0.88,466.72,289.94
TER_003,2014-10-31,2014,10,3,4,7,9,5,0.448,9,0.896,466.72,412.88
TER_003,2014-11-30,2014,11,3,4,10,18,4,0.476,9,0.94,466.72,470.31
TER_003,2014-12-31,2014,12,3,4,11,15,10,0.456,9,1.0,466.72,524.62
TER_003,2015-01-31,2015,1,3,4,11,19,5,0.383,9,1.06,466.72,566.39
TER_003,2015-02-28,2015,2,3,4,2,4,0,0.212,9,1.104,466.72,408.06
TER_003,2015-03-31,2015,3,3,4,8,13,5,0.514,9,1.12,466.72,445.49
TER_003,2015-04-30,2015,4,3,4,10,18,4,0.308,9,1.104,466.72,605.08
TER_003,2015-05-31,2015,5,3,4,15,21,14,0.219,9,1.06,466.72,724.12
TER_003,2015-06-30,2015,6,3,4,7,7,3,0.333,9,1.0,466.72,450.38
TER_003,2015-07-31,2015,7,3,4,10,16,7,0.177,9,0.94,466.72,601.16
TER_003,2015-08-31,2015,8,3,4,6,9,6,0.699,9,0.896,466.72,315.07
TER_003,2015-09-30,2015,9,3,4,5,4,2,0.394,9,0.88,466.72,345.59
TER_003,2015-10-31,2015,10,3,4,8,13,7,0.387,9,0.896,466.72,466.85
TER_003,2015-11-30,2015,11,3,4,3,0,2,0.414,9,0.94,466.72,290.09
TER_003,2015-12-31,2015,12,3,4,8,14,8,0.423,9,1.0,466.72,527.67
TER_003,2016-01-31,2016,1,3,4,4,9,1,0.266,9,1.06,466.72,443.94
TER_003,2016-02-29,2016,2,3,4,4,6,1,0.109,9,1.104,466.72,475.9
TER_003,2016-03-31,2016,3,3,4,9,16,3,0.462,9,1.12,466.72,456.63
TER_003,2016-04-30,2016,4,3,4,7,10,5,0.367,9,1.104,466.72,435.4
TER_003,2016-05-31,2016,5,3,4,3,6,3,0.721,9,1.06,466.72,241.04
TER_003,2016-06-30,2016,6,3,4,8,10,8,0.393,9,1.0,466.72,472.94
TER_003,2016-07-31,2016,7,3,4,7,7,4,0.357,9,0.94,466.72,451.66
TER_003,2016-08-31,2016,8,3,4,4,5,3,0.1,9,0.896,466.72,448.76
TER_003,2016-09-30,2016,9,3,4,9,15,7,0.285,9,0.88,466.72,539.75
TER_003,2016-10-31,2016,10,3,4,10,9,3,0.301,9,0.896,466.72,470.31
TER_003,2016-11-30,2016,11,3,4,6,6,3,0.512,9,0.94,466.72,353.79
TER_003,2016-12-31,2016,12,3,4,4,3,1,0.1,9,1.0,466.72,448.26
TER_003,2017-01-31,2017,1,3,4,11,17,6,0.306,9,1.06,466.72,587.17
TER_003,2017-02-28,2017,2,3,4,5,5,2,0.447,9,1.104,466.72,341.89
TER_003,2017-03-31,2017,3,3,4,11,14,4,0.1,9,1.12,466.72,625.19
TER_003,2017-04-30,2017,4,3,4,6,6,2,0.513,9,1.104,466.72,317.41
TER_003,2017-05-31,2017,5,3,4,6,10,3,0.514,9,1.06,466.72,410.19
TER_003,2017-06-30,2017,6,3,4,8,14,6,0.436,9,1.0,466.72,505.37
TER_003,2017-07-31,2017,7,3,4,7,9,2,0.606,9,0.94,466.72,382.11
TER_003,2017-08-31,2017,8,3,4,4,6,4,0.723,9,0.896,466.72,268.32
TER_003,2017-09-30,2017,9,3,4,7,6,7,0.246,9,0.88,466.72,441.87
TER_003,2017-10-31,2017,10,3,4,9,15,8,0.708,9,0.896,466.72,416.39
TER_003,2017-11-30,2017,11,3,4,7,12,11,0.401,9,0.94,466.72,421.82
TER_003,2017-12-31,2017,12,3,4,6,8,1,0.268,9,1.0,466.72,466.4
TER_003,2018-01-31,2018,1,3,4,1,4,0,0.85,9,1.06,466.72,135.01
TER_003,2018-02-28,2018,2,3,4,5,6,2,0.674,9,1.104,466.72,316.32
TER_003,2018-03-31,2018,3,3,4,4,9,1,0.422,9,1.12,466.72,410.73
TER_003,2018-04-30,2018,4,3,4,8,11,5,0.338,9,1.104,466.72,497.52
TER_003,2018-05-31,2018,5,3,4,5,4,1,0.85,9,1.06,466.72,245.92
TER_003,2018-06-30,2018,6,3,4,2,2,3,0.207,9,1.0,466.72,346.34
TER_003,2018-07-31,2018,7,3,4,5,8,2,0.254,9,0.94,466.72,446.93
TER_003,2018-08-31,2018,8,3,4,5,5,5,0.561,9,0.896,466.72,326.36
TER_003,2018-09-30,2018,9,3,4,10,11,9,0.185,9,0.88,466.72,525.84
TER_003,2018-10-31,2018,10,3,4,6,9,3,0.686,9,0.896,466.72,337.61
TER_003,2018-11-30,2018,11,3,4,11,19,4,0.457,9,0.94,466.72,464.47
TER_003,2018-12-31,2018,12,3,4,9,10,4,0.585,9,1.0,466.72,407.45
TER_003,2019-01-31,2019,1,3,4,5,6,1,0.352,9,1.06,466.72,360.64
TER_003,2019-02-28,2019,2,3,4,6,7,4,0.595,9,1.104,466.72,351.9
TER_003,2019-03-31,2019,3,3,4,7,7,5,0.451,9,1.12,466.72,391.26
TER_003,2019-04-30,2019,4,3,4,9,10,5,0.478,9,1.104,466.72,462.4
TER_003,2019-05-31,2019,5,3,4,4,3,0,0.84,9,1.06,466.72,167.16
TER_003,2019-06-30,2019,6,3,4,7,12,2,0.156,9,1.0,466.72,484.93
TER_003,2019-07-31,2019,7,3,4,6,10,5,0.422,9,0.94,466.72,423.43
TER_003,2019-08-31,2019,8,3,4,10,14,3,0.539,9,0.896,466.72,446.66
TER_003,2019-09-30,2019,9,3,4,11,13,7,0.823,9,0.88,466.72,408.57
TER_003,2019-10-31,2019,10,3,4,10,11,4,0.406,9,0.896,466.72,481.64
TER_004,2014-01-31,2014,1,3,4,3,1,0,0.277,3,1.06,349.44,217.2
TER_004,2014-02-28,2014,2,3,4,9,13,6,0.85,3,1.104,349.44,210.33
TER_004,2014-03-31,2014,3,3,4,11,14,8,0.232,3,1.12,349.44,461.24
TER_004,2014-04-30,2014,4,3,4,5,8,3,0.409,3,1.104,349.44,247.35
TER_004,2014-05-31,2014,5,3,4,6,5,4,0.273,3,1.06,349.44,282.53
TER_004,2014-06-30,2014,6,3,4,14,20,6,0.537,3,1.0,349.44,397.39
TER_004,2014-07-31,2014,7,3,4,15,22,7,0.457,3,0.94,349.44,500.44
TER_004,2014-08-31,2014,8,3,4,17,25,11,0.478,3,0.896,349.44,523.95
TER_004,2014-09-30,2014,9,3,4,9,14,5,0.121,3,0.88,349.44,410.81
TER_004,2014-10-31,2014,10,3,4,7,12,2,0.366,3,0.896,349.44,300.52
TER_004,2014-11-30,2014,11,3,4,1,1,0,0.422,3,0.94,349.44,69.91
TER_004,2014-12-31,2014,12,3,4,9,13,9,0.273,3,1.0,349.44,431.15
TER_004,2015-01-31,2015,1,3,4,8,8,4,0.181,3,1.06,349.44,390.76
TER_004,2015-02-28,2015,2,3,4,4,8,2,0.563,3,1.104,349.44,234.88
TER_004,2015-03-31,2015,3,3,4,8,11,5,0.769,3,1.12,349.44,224.07
TER_004,2015-04-30,2015,4,3,4,9,14,3,0.581,3,1.104,349.44,277.82
TER_004,2015-05-31,2015,5,3,4,6,11,2,0.74,3,1.06,349.44,121.39
TER_004,2015-06-30,2015,6,3,4,10,13,7,0.49,3,1.0,349.44,291.24
TER_004,2015-07-31,2015,7,3,4,8,14,7,0.736,3,0.94,349.44,224.47
TER_004,2015-08-31,2015,8,3,4,12,17,7,0.233,3,0.896,349.44,422.32
TER_004,2015-09-30,2015,9,3,4,8,10,3,0.429,3,0.88,349.44,293.39
TER_004,2015-10-31,2015,10,3,4,8,10,6,0.609,3,0.896,349.44,248.55
TER_004,2015-11-30,2015,11,3,4,3,5,0,0.446,3,0.94,349.44,122.16
TER_004,2015-12-31,2015,12,3,4,8,10,5,0.404,3,1.0,349.44,280.94
TER_004,2016-01-31,2016,1,3,4,9,14,4,0.316,3,1.06,349.44,394.67
TER_004,2016-02-29,2016,2,3,4,3,5,2,0.1,3,1.104,349.44,283.05
TER_004,2016-03-31,2016,3,3,4,14,22,5,0.39,3,1.12,349.44,497.06
TER_004,2016-04-30,2016,4,3,4,5,7,1,0.311,3,1.104,349.44,246.64
TER_004,2016-05-31,2016,5,3,4,8,11,4,0.1,3,1.06,349.44,402.72
TER_004,2016-06-30,2016,6,3,4,8,13,8,0.543,3,1.0,349.44,333.9
TER_004,2016-07-31,2016,7,3,4,6,11,7,0.172,3,0.94,349.44,385.03
TER_004,2016-08-31,2016,8,3,4,6,8,2,0.333,3,0.896,349.44,198.21
TER_004,2016-09-30,2016,9,3,4,6,9,4,0.101,3,0.88,349.44,345.72
TER_004,2016-10-31,2016,10,3,4,6,10,4,0.829,3,0.896,349.44,127.88
